algorithm1,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA,AAHC,TAAHC,mod. K-Means,HMM,PCA,ICA
mod. K-Means,0.004996605673250083,0.004780165517344237,0.006138259898921343,0.004961078049289338,0.005587635875758137,0.0066429402802632735,0.005432123411792365,0.00540454255514558,0.006152183855364051,0.005533573341438109,0.006191871698696248,0.00668882539087817,0.005358917246131715,0.004304622284317095,0.6394407060812606,0.014447461970707422,0.2528879213798018,0.12269692051691371,0.004957648662412715,0.004539363830633191,1.0,0.02000528612888592,0.254671677506185,0.11789157689907125,0.003716737205867341,0.004443783945308007,0.6321540904504022,0.019566419136596673,0.2357369329999828,0.11002509174073742
HMM,0.004282274233812167,0.004959872747187906,0.00487395304981433,0.0039753930943859355,0.005376956846374478,0.005077472992100982,0.0034379945235527938,0.003944654238811907,0.0048756724798854,0.005336990777192436,0.00487700402044217,0.005578255617837758,0.00412137772022939,0.004967985187621235,0.027362350069576467,0.2778745007236119,0.02647094604377192,0.0015871837832427394,0.004123823415984731,0.004917162645834905,0.02000528612888592,1.0,0.025296890927697862,0.004213175668616071,0.005038058778558505,0.0043246405464918425,0.02234954381222941,0.3178671657164702,0.02562933197917561,0.006007521383546218
PCA,0.0046189543195922006,0.0049215862056388926,0.005829258953045564,0.004177246641725073,0.005376155566819662,0.005991380499070833,0.004870898032817582,0.005026997472121281,0.005294081203275553,0.004728528181068776,0.005703482633334254,0.005860877061556071,0.004749642219715122,0.004545056756830954,0.26337971092135676,0.0247270436791298,0.8604964391114227,0.15731804851252498,0.0044717704080137624,0.004931423461768615,0.254671677506185,0.025296890927697862,1.0,0.1796410840865007,0.0037746307944516613,0.004405386626798945,0.24020524913869692,0.021526288471570187,0.6625265923260054,0.140985433950881
ICA,0.0040395949303200646,0.004189879398736851,0.006297782808274765,0.005059581193628713,0.005846302120516086,0.006333514609448277,0.004504327245036878,0.004985348410710526,0.0058436871496918095,0.005495168021015702,0.0057162361458877485,0.0058887781280788955,0.004187908508635131,0.004178992033504559,0.11062372042551019,0.004203567031770163,0.1766522376069628,0.41653038637331785,0.004167612120009052,0.004487484281154993,0.11789157689907125,0.004213175668616071,0.1796410840865007,1.0,0.004546717230428376,0.004507098342173057,0.1093920828652586,0.010548053320844865,0.17574179194208647,0.435050169801482
AAHC,0.005820058161425617,0.005535589229898868,0.004317577579977543,0.0029527684754823065,0.004224257151670643,0.004545968582581584,0.005924851353215282,0.006467231078660403,0.005291666751065382,0.003963385057766263,0.0031565477126905164,0.004605489493716597,0.3200824452378707,0.3215827111976338,0.003298856520976241,0.0052573712376835545,0.003479747053295742,0.005008572967695178,0.3537250907871183,0.3336060576954226,0.003716737205867341,0.005038058778558505,0.0037746307944516613,0.004546717230428376,1.0,0.358836501462781,0.004515639724531351,0.0061742819616772285,0.0035876869104934693,0.004415623079791871
TAAHC,0.006174689642439985,0.005110753848126805,0.0035238253047762138,0.003780116125549209,0.004322588363557124,0.004555792149667559,0.0056894612284357675,0.0056382298488200895,0.005461005824748719,0.004093997993317383,0.003995037751065141,0.0047479861886192895,0.3184592406478726,0.35173007573702153,0.004583347960819989,0.00416804831716703,0.004057676780333405,0.004476909412118882,0.34255235566706743,0.3890132832556439,0.004443783945308007,0.0043246405464918425,0.004405386626798945,0.004507098342173057,0.358836501462781,1.0,0.004946242687159773,0.005508964269848837,0.004475143053722127,0.0043204532493205956
mod. K-Means,0.0053649245314380065,0.005300923779223705,0.005657995721927894,0.004030722539855706,0.005653156546858709,0.006485326364079689,0.005105919634886367,0.005099131442982648,0.005547505097012776,0.005802462525503379,0.005565434310813464,0.006744915195161978,0.00526113361771645,0.004672523670649768,0.5414983696767828,0.01646908648565905,0.2370233477876386,0.11808763492776216,0.005203165225591114,0.004501943687303447,0.6321540904504022,0.02234954381222941,0.24020524913869692,0.1093920828652586,0.004515639724531351,0.004946242687159773,1.0,0.021187522550361746,0.210531210979466,0.10787360020751399
HMM,0.005980959490242221,0.005866007117324455,0.006853062928783799,0.004754435993920077,0.006319637165781538,0.0056407495964262136,0.004833366368755292,0.005879137326339901,0.006783348539349437,0.006811870670706434,0.006170792907110607,0.007093411453625676,0.005202093575042121,0.006265687331243355,0.02439676810580902,0.16427849447686313,0.02582730945290986,0.003696353546881887,0.005472367470997116,0.005093498684802281,0.019566419136596673,0.3178671657164702,0.021526288471570187,0.010548053320844865,0.0061742819616772285,0.005508964269848837,0.021187522550361746,1.0,0.016967955978857027,0.013198602273746312
PCA,0.004354924765574484,0.004922144197754474,0.005345177364787908,0.003806137026307663,0.005577495402457093,0.006134456945843306,0.005582129759304123,0.005417334588068761,0.005152476104631255,0.005024161339638167,0.005167499194834159,0.006451205893348028,0.004522399760169491,0.004588645785504584,0.2412333796378857,0.022156639809826566,0.6424581982507257,0.16280801595421054,0.0045121474754503095,0.00491822457045904,0.2357369329999828,0.02562933197917561,0.6625265923260054,0.17574179194208647,0.0035876869104934693,0.004475143053722127,0.210531210979466,0.016967955978857027,1.0,0.16747027621702343
ICA,0.004192017983708239,0.004564060759784914,0.005285536879260918,0.004266903099938673,0.005683276318170856,0.005545845338140812,0.005245132259234977,0.004802836272976949,0.00575104353978135,0.004568370340226868,0.006674556923864133,0.006806259195351807,0.004029263301787832,0.004524989472813844,0.11051540956014698,0.006570287101223134,0.14486920090559918,0.29616879352313963,0.0042494539905671225,0.004912594487264826,0.11002509174073742,0.006007521383546218,0.140985433950881,0.435050169801482,0.004415623079791871,0.0043204532493205956,0.10787360020751399,0.013198602273746312,0.16747027621702343,1.0
